Activiti/Activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,activiti-spring-boot-starter,1,21.73,352.19,.58
Apache/Struts,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,plugins/portlet,14,7.03,35.73,.59
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-common-project/hadoop-auth,1,1.00,12.45,.61
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app,3,116.00,4605.78,.64
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-cluster,1,30.25,155.06,.58
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-rpc/dubbo-rpc-api,0,3.00,13.41,.56
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-rpc/dubbo-rpc-dubbo,4,1.00,100.84,.55
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-serialization/dubbo-serialization-fst,2,8.21,32.94,.56
c2mon/c2mon,d80687b119c713dd177a58cf53a997d8cc5ca264,c2mon-server/c2mon-server-elasticsearch,1,1.50,65.42,.56
ctco/cukes,b483e1a8f261b80a66291a42fc455256b0b5059c,cukes-http,1,1.00,4.29,.56
dropwizard/dropwizard,07dfaed697427e208d65049f80a5d1949833b7cd,dropwizard-logging,1,1.50,11.66,.54
elasticjob/elastic-job-lite,b022898ef1b8c984e17efb2a422ee45f6b13e46e,elastic-job-lite-core,5,3.53,555.85,.68
jhipster/jhipster-registry,00db36611da5fc7aaf9d5372aa90f2465d80c0c4,.,2,1.33,33.31,.60
kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,lib,0,32.92,125.43,.60
ktuukkan/marine-api,af0003847db9ba822f67d4f1dceb8de3fe63250a,.,3,22.16,89.20,.61
openpojo/openpojo,9badbcc4593e797accfed5e51bec9f2b843f0f67,.,11,1.50,12.98,.68
spring-projects/spring-boot,daa3d457b71896a758995c264977bdd1414ee4d4,spring-boot-project/spring-boot,0,14.00,624.51,.70
spring-projects/spring-data-envers,5637994be37747e82b2d6d5b34555e2bee791fe6,.,1,2.00,46.24,.56
spring-projects/spring-ws,e8d89c9eb0929dda304174729c9c69fb29f448eb,spring-ws-security,2,1.00,15.43,.54
wikidata/wikidata-toolkit,20de6f7f12319f54eb962ff6e8357b3f5695d54d,wdtk-util,1,1.50,5.68,.56
