project,sha,module,brittle,SS/NSS,isBSSPair,brittle_code,ss_or_nss_code
alibaba/fastjson,5c6d6fd471ea1fab59f0df2dd31e0b936806780d,NA,com.alibaba.json.bvt.parser.DefaultExtJSONParser_parseArray.test_8,com.alibaba.json.bvt.issue_2200.Issue2241.test_for_issue4,1,"""public void test_8() throws Exception {
        DefaultJSONParser parser = new DefaultJSONParser(""\""2011-01-09T13:49:53.254\"""");
        parser.config(Feature.AllowISO8601DateFormat, true);
        Object value = parser.parse();
        Assert.assertEquals(new Date(1294552193254L), value);
    }""","""public void test_for_issue4() throws Exception {
        String text = ""{\""createTime\"":1548166745}"";

        Order4 o = JSON.parseObject(text, Order4.class);
        assertEquals(1548166745L, o.createTime.toEpochSecond());

        String json = JSON.toJSONString(o);
        assertEquals(""{\""createTime\"":1548166745}"", json);
    }"""
alibaba/fastjson,5c6d6fd471ea1fab59f0df2dd31e0b936806780d,NA,com.alibaba.json.bvt.parser.DefaultExtJSONParser_parseArray.test_8,com.alibaba.json.bvt.date.DateFieldTest10.test_for_zero,1,"""public void test_8() throws Exception {
        DefaultJSONParser parser = new DefaultJSONParser(""\""2011-01-09T13:49:53.254\"""");
        parser.config(Feature.AllowISO8601DateFormat, true);
        Object value = parser.parse();
        Assert.assertEquals(new Date(1294552193254L), value);
    }""","""public void test_for_zero() throws Exception {
        String text = ""{\""date\"":\""0000-00-00\""}"";

        SimpleDateFormat format = new SimpleDateFormat(""yyyy-MM-dd"");
        Object object = format.parse(""0000-00-00"");
        JSON.parseObject(text, Model.class);
    }"""
alibaba/fastjson,5c6d6fd471ea1fab59f0df2dd31e0b936806780d,NA,com.alibaba.json.bvt.parser.DefaultExtJSONParser_parseArray.test_8,com.alibaba.json.bvt.issue_2100.Issue2156.test_for_issue_time,1,"""public void test_8() throws Exception {
        DefaultJSONParser parser = new DefaultJSONParser(""\""2011-01-09T13:49:53.254\"""");
        parser.config(Feature.AllowISO8601DateFormat, true);
        Object value = parser.parse();
        Assert.assertEquals(new Date(1294552193254L), value);
    }""","""public void test_for_issue_time() throws Exception {
        java.sql.Time date = java.sql.Time.valueOf(""12:13:14"");
        String str = JSON.toJSONStringWithDateFormat(date, JSON.DEFFAULT_DATE_FORMAT);
        assertEquals(""\""12:13:14\"""", str);
    }"""
alibaba/fastjson,5c6d6fd471ea1fab59f0df2dd31e0b936806780d,NA,com.alibaba.json.bvt.parser.DefaultExtJSONParser_parseArray.test_8,com.alibaba.json.bvt.issue_1400.Issue1493.test_for_issue,1,"""public void test_8() throws Exception {
        DefaultJSONParser parser = new DefaultJSONParser(""\""2011-01-09T13:49:53.254\"""");
        parser.config(Feature.AllowISO8601DateFormat, true);
        Object value = parser.parse();
        Assert.assertEquals(new Date(1294552193254L), value);
    }""","""public void test_for_issue() throws Exception {

        TestBean test = new TestBean();
        String stime2 = ""2017-09-22T15:08:56"";

        LocalDateTime time1 = LocalDateTime.now();
        time1 = time1.minusNanos(10L);
        System.out.println(time1.getNano());
        LocalDateTime time2 = LocalDateTime.parse(stime2);
        test.setTime1(time1);
        test.setTime2(time2);
        String t1 = JSON.toJSONString(time1, SerializerFeature.WriteDateUseDateFormat);

        String json = JSON.toJSONString(test, SerializerFeature.WriteDateUseDateFormat);
        Assert.assertEquals(""{\""time1\"":""+t1+"",\""time2\"":\""""+stime2+""\""}"",json);


        //String default_format = JSON.DEFFAULT_LOCAL_DATE_TIME_FORMAT;
        //JSON.DEFFAULT_LOCAL_DATE_TIME_FORMAT = ""yyyy-MM-dd HH:mm:ss"";
        //String stime1 = DateTimeFormatter.ofPattern(JSON.DEFFAULT_LOCAL_DATE_TIME_FORMAT, Locale.CHINA).format(time1);

        json = JSON.toJSONString(test, SerializerFeature.WriteDateUseDateFormat);
        Assert.assertEquals(""{\""time1\"":""+ JSON.toJSONString(time1, SerializerFeature.WriteDateUseDateFormat) +"",\""time2\"":\""""+stime2+""\""}"",json);


        String pattern = ""yyyy-MM-dd'T'HH:mm:ss"";
        String stime1 = DateTimeFormatter.ofPattern(pattern, Locale.CHINA).format(time1);

        json = JSON.toJSONStringWithDateFormat(test, ""yyyy-MM-dd'T'HH:mm:ss"", SerializerFeature.WriteDateUseDateFormat);
        Assert.assertEquals(""{\""time1\"":\""""+stime1+""\"",\""time2\"":\""""+stime2+""\""}"",json);

        //JSON.DEFFAULT_LOCAL_DATE_TIME_FORMAT = default_format;
    }"""
alibaba/fastjson,5c6d6fd471ea1fab59f0df2dd31e0b936806780d,NA,com.alibaba.json.bvt.parser.DefaultExtJSONParser_parseArray.test_8,com.alibaba.json.bvt.bug.Bug_for_cnhans.test_toJavaObject,1,"""public void test_8() throws Exception {
        DefaultJSONParser parser = new DefaultJSONParser(""\""2011-01-09T13:49:53.254\"""");
        parser.config(Feature.AllowISO8601DateFormat, true);
        Object value = parser.parse();
        Assert.assertEquals(new Date(1294552193254L), value);
    }""","""public void test_toJavaObject() throws Exception {
        JSONObject obj = new JSONObject();
        obj.put(""d1"", new Date());
        obj.put(""d2"", System.currentTimeMillis());
        obj.put(""d3"", GregorianCalendar.getInstance());
        obj.put(""d4"", ""2012-12-22"");
        obj.put(""d5"", ""2012-12-22 12:11:11"");
        obj.put(""d6"", ""2012-12-22 12:11:11.234"");
        
        obj.getObject(""d1"", Calendar.class);
        obj.getObject(""d2"", Calendar.class);
        obj.getObject(""d3"", Calendar.class);
        obj.getObject(""d4"", Calendar.class);
        obj.getObject(""d5"", Calendar.class);
        obj.getObject(""d6"", Calendar.class);

        obj.getObject(""d1"", GregorianCalendar.class);
        obj.getObject(""d2"", GregorianCalendar.class);
        obj.getObject(""d3"", GregorianCalendar.class);
        obj.getObject(""d4"", GregorianCalendar.class);
        obj.getObject(""d5"", GregorianCalendar.class);
        obj.getObject(""d6"", GregorianCalendar.class);
    }"""
alibaba/fastjson,5c6d6fd471ea1fab59f0df2dd31e0b936806780d,NA,com.alibaba.json.bvt.parser.DefaultExtJSONParser_parseArray.test_8,com.alibaba.json.bvt.parser.DefaultJSONParserTest_date.test_dateFormat,1,"""public void test_8() throws Exception {
        DefaultJSONParser parser = new DefaultJSONParser(""\""2011-01-09T13:49:53.254\"""");
        parser.config(Feature.AllowISO8601DateFormat, true);
        Object value = parser.parse();
        Assert.assertEquals(new Date(1294552193254L), value);
    }""","""public void test_dateFormat() throws Exception {
        DefaultJSONParser parser = new DefaultJSONParser(""{}"");
        parser.setDateFormat(""yyyy-DD-mm"");
        
        SimpleDateFormat format = new SimpleDateFormat(""yyyy-DD-mm"", JSON.defaultLocale);
        format.setTimeZone(JSON.defaultTimeZone);
        
        parser.setDateFomrat(format);
        parser.getDateFomartPattern();
        parser.getDateFormat();
        parser.parse();
        parser.close();
    }"""
alibaba/fastjson,5c6d6fd471ea1fab59f0df2dd31e0b936806780d,NA,com.alibaba.json.bvt.parser.DefaultExtJSONParser_parseArray.test_8,com.alibaba.json.bvt.date.DateFieldTest2.test_codec,1,"""public void test_8() throws Exception {
        DefaultJSONParser parser = new DefaultJSONParser(""\""2011-01-09T13:49:53.254\"""");
        parser.config(Feature.AllowISO8601DateFormat, true);
        Object value = parser.parse();
        Assert.assertEquals(new Date(1294552193254L), value);
    }""","""public void test_codec() throws Exception {
        SerializeConfig mapping = new SerializeConfig();

        V0 v = new V0();
        v.setValue(new Date());

        String text = JSON.toJSONString(v, mapping);

        SimpleDateFormat format = new SimpleDateFormat(""yyyy-MM-dd"", JSON.defaultLocale);
        format.setTimeZone(JSON.defaultTimeZone);
        Assert.assertEquals(""{\""value\"":"" + JSON.toJSONString(format.format(v.getValue())) + ""}"", text);
    }"""
alibaba/fastjson,5c6d6fd471ea1fab59f0df2dd31e0b936806780d,NA,com.alibaba.json.bvt.parser.DefaultExtJSONParser_parseArray.test_8,com.alibaba.json.bvt.serializer.JSONSerializerTest3.test_0,1,"""public void test_8() throws Exception {
        DefaultJSONParser parser = new DefaultJSONParser(""\""2011-01-09T13:49:53.254\"""");
        parser.config(Feature.AllowISO8601DateFormat, true);
        Object value = parser.parse();
        Assert.assertEquals(new Date(1294552193254L), value);
    }""","""public void test_0() throws Exception {
        JSONSerializer serializer = new JSONSerializer();

        serializer.setDateFormat(""yyyy"");
        Assert.assertEquals(""yyyy"", ((SimpleDateFormat) serializer.getDateFormat()).toPattern());
        Assert.assertEquals(""yyyy"",  serializer.getDateFormatPattern());
        
        serializer.setDateFormat(""yyyy-MM"");
        Assert.assertEquals(""yyyy-MM"", ((SimpleDateFormat) serializer.getDateFormat()).toPattern());
        
        SimpleDateFormat format = new SimpleDateFormat(""yyyy-MM-dd"");
        format.setTimeZone(JSON.defaultTimeZone);
        serializer.setDateFormat(format);
        Assert.assertEquals(""yyyy-MM-dd"",  serializer.getDateFormatPattern());
        
        serializer.close();
    }"""
alibaba/fastjson,5c6d6fd471ea1fab59f0df2dd31e0b936806780d,NA,com.alibaba.json.bvt.parser.DefaultExtJSONParser_parseArray.test_8,com.alibaba.json.bvt.parser.DateParserTest.test_date_6,1,"""public void test_8() throws Exception {
        DefaultJSONParser parser = new DefaultJSONParser(""\""2011-01-09T13:49:53.254\"""");
        parser.config(Feature.AllowISO8601DateFormat, true);
        Object value = parser.parse();
        Assert.assertEquals(new Date(1294552193254L), value);
    }""","""public void test_date_6() throws Exception {
        int features = JSON.DEFAULT_PARSER_FEATURE;
        features = Feature.config(features, Feature.AllowISO8601DateFormat, true);

        java.util.Date date = JSON.parseObject(""{d:\""2011-01-09T13:49:53\""}"", Entity.class, Feature.AllowISO8601DateFormat).getD();

        Assert.assertEquals(new java.util.Date(1294552193000L), date);
    }"""
alibaba/fastjson,5c6d6fd471ea1fab59f0df2dd31e0b936806780d,NA,com.alibaba.json.bvt.parser.DefaultExtJSONParser_parseArray.test_8,com.alibaba.json.bvt.bug.Bug_for_lenolix_8.test_for_objectKey,1,"""public void test_8() throws Exception {
        DefaultJSONParser parser = new DefaultJSONParser(""\""2011-01-09T13:49:53.254\"""");
        parser.config(Feature.AllowISO8601DateFormat, true);
        Object value = parser.parse();
        Assert.assertEquals(new Date(1294552193254L), value);
    }""","""public void test_for_objectKey() throws Exception {
        DateFormat simpleDateFormat = new SimpleDateFormat(""yyyy-MM-dd HH:mm:ss"", JSON.defaultLocale);
        simpleDateFormat.setTimeZone(JSON.defaultTimeZone);
        Map<Integer, User> map = new HashMap<Integer, User>();

        User user = new User();
        user.setId(1);
        user.setIsBoy(true);
        user.setName(""leno.lix"");
        user.setBirthDay(simpleDateFormat.parse(""2012-03-07 22:38:21""));
        user.setGmtCreate(new java.sql.Date(simpleDateFormat.parse(""2012-02-03 22:38:21"").getTime()));

        map.put(1, user);

        String mapJson = JSON.toJSONString(map, SerializerFeature.WriteClassName, SerializerFeature.WriteMapNullValue);

        System.out.println(mapJson);

        Object object = JSON.parse(mapJson);

    }"""
