project,sha,module,victim,Polluter,Runtime
Apache/Struts,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,plugins/portlet,org.apache.struts2.components.PortletUrlRendererTest.testIsPortelModeChanged,org.apache.struts2.portlet.dispatcher.Jsr168DispatcherTest.testModeChangeUsingPortletWidgets,1.926633337
Apache/Struts,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,plugins/portlet,org.apache.struts2.components.PortletUrlRendererTest.testIsPortelModeChanged,org.apache.struts2.portlet.dispatcher.Jsr168DispatcherTest.testRender_ok,2.093166667
Apache/Struts,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,plugins/portlet,org.apache.struts2.components.PortletUrlRendererTest.testIsPortelModeChanged,org.apache.struts2.portlet.dispatcher.Jsr286DispatcherTest.testModeChangeUsingPortletWidgets,1.92606667
Apache/Struts,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,plugins/portlet,org.apache.struts2.components.PortletUrlRendererTest.testIsPortelModeChanged,org.apache.struts2.portlet.dispatcher.Jsr286DispatcherTest.testRender_ok,2.0006333
Apache/Struts,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,plugins/portlet,org.apache.struts2.components.PortletUrlRendererTest.testRenderUrlWithNamespace,org.apache.struts2.portlet.dispatcher.Jsr168DispatcherTest.testModeChangeUsingPortletWidgets,1.926633337
Apache/Struts,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,plugins/portlet,org.apache.struts2.components.PortletUrlRendererTest.testRenderUrlWithNamespace,org.apache.struts2.portlet.dispatcher.Jsr168DispatcherTest.testRender_ok,2.093166667
Apache/Struts,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,plugins/portlet,org.apache.struts2.components.PortletUrlRendererTest.testRenderUrlWithNamespace,org.apache.struts2.portlet.dispatcher.Jsr286DispatcherTest.testModeChangeUsingPortletWidgets,1.92606667
Apache/Struts,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,plugins/portlet,org.apache.struts2.components.PortletUrlRendererTest.testRenderUrlWithNamespace,org.apache.struts2.portlet.dispatcher.Jsr286DispatcherTest.testRender_ok,2.0006333
Apache/Struts,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,plugins/portlet,org.apache.struts2.portlet.dispatcher.Jsr168DispatcherTest.testModeChangeUsingPortletWidgets,org.apache.struts2.portlet.dispatcher.Jsr286DispatcherTest.testModeChangeUsingPortletWidgets,2.20606667
Apache/Struts,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,plugins/portlet,org.apache.struts2.portlet.dispatcher.Jsr168DispatcherTest.testModeChangeUsingPortletWidgets,org.apache.struts2.portlet.dispatcher.Jsr286DispatcherTest.testRender_ok,2.0006333
Apache/Struts,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,plugins/portlet,org.apache.struts2.portlet.dispatcher.Jsr168DispatcherTest.testProcessAction_ok,org.apache.struts2.portlet.dispatcher.Jsr168DispatcherTest.testRender_ok,2.093166667
Apache/Struts,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,plugins/portlet,org.apache.struts2.portlet.dispatcher.Jsr168DispatcherTest.testProcessAction_ok,org.apache.struts2.portlet.dispatcher.Jsr286DispatcherTest.testModeChangeUsingPortletWidgets,6.1001667
Apache/Struts,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,plugins/portlet,org.apache.struts2.portlet.dispatcher.Jsr168DispatcherTest.testProcessAction_ok,org.apache.struts2.portlet.dispatcher.Jsr286DispatcherTest.testRender_ok,2.0006333
Apache/Struts,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,plugins/portlet,org.apache.struts2.portlet.dispatcher.Jsr168DispatcherTest.testRender_ok,org.apache.struts2.portlet.dispatcher.Jsr286DispatcherTest.testModeChangeUsingPortletWidgets,7.20606667
Apache/Struts,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,plugins/portlet,org.apache.struts2.portlet.dispatcher.Jsr168DispatcherTest.testRender_ok,org.apache.struts2.portlet.dispatcher.Jsr286DispatcherTest.testRender_ok,7.29529997
Apache/Struts,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,plugins/portlet,org.apache.struts2.portlet.dispatcher.Jsr286DispatcherTest.testModeChangeUsingPortletWidgets,org.apache.struts2.portlet.dispatcher.Jsr168DispatcherTest.testModeChangeUsingPortletWidgets,2.280599967
Apache/Struts,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,plugins/portlet,org.apache.struts2.portlet.dispatcher.Jsr286DispatcherTest.testModeChangeUsingPortletWidgets,org.apache.struts2.portlet.dispatcher.Jsr168DispatcherTest.testRender_ok,2.093166667
Apache/Struts,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,plugins/portlet,org.apache.struts2.portlet.dispatcher.Jsr286DispatcherTest.testProcessAction_ok,org.apache.struts2.portlet.dispatcher.Jsr168DispatcherTest.testModeChangeUsingPortletWidgets,6.123799967
Apache/Struts,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,plugins/portlet,org.apache.struts2.portlet.dispatcher.Jsr286DispatcherTest.testProcessAction_ok,org.apache.struts2.portlet.dispatcher.Jsr168DispatcherTest.testRender_ok,2.093166667
Apache/Struts,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,plugins/portlet,org.apache.struts2.portlet.dispatcher.Jsr286DispatcherTest.testProcessAction_ok,org.apache.struts2.portlet.dispatcher.Jsr286DispatcherTest.testRender_ok,2.0006333
Apache/Struts,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,plugins/portlet,org.apache.struts2.portlet.dispatcher.Jsr286DispatcherTest.testRender_ok,org.apache.struts2.portlet.dispatcher.Jsr168DispatcherTest.testModeChangeUsingPortletWidgets,6.133799967
